Date,Price,Open,High,Low,Vol.,Change %,Prev_Price,Price_Change,7_day_avg,30_day_avg
2013-04-29,1468.1,1468.1,1468.1,1468.1,122510.0,1.0,1453.6,14.5,1433.2857142857142,1521.7366666666667
2013-04-30,1472.7,1464.0,1474.6,1464.0,20.0,0.31,1468.1,4.600000000000136,1444.3,1517.3100000000002
2013-05-01,1446.8,1450.3,1451.6,1450.0,30.0,-1.76,1472.7,-25.90000000000009,1447.9571428571428,1511.7966666666666
2013-05-02,1468.2,1452.5,1472.1,1452.5,30.0,1.48,1446.8,21.40000000000009,1456.4428571428573,1507.1233333333334
2013-05-03,1464.8,1475.0,1475.0,1461.1,30.0,-0.23,1468.2,-3.400000000000091,1462.3142857142855,1502.1266666666666
2013-05-06,1468.6,1472.0,1475.4,1465.0,60.0,0.26,1464.8,3.7999999999999545,1463.2571428571428,1497.513333333333
2013-05-07,1449.4,1467.6,1467.6,1444.0,1710.0,-1.31,1468.6,-19.199999999999818,1462.6571428571428,1492.3133333333333
2013-05-08,1474.3,1449.2,1474.5,1449.2,1710.0,1.72,1449.4,24.899999999999864,1463.5428571428572,1488.2433333333333
2013-05-09,1469.1,1472.4,1475.5,1456.8,250.0,-0.35,1474.3,-5.2000000000000455,1463.0285714285712,1483.6399999999999
2013-05-10,1437.0,1455.0,1461.0,1419.4,370.0,-2.19,1469.1,-32.09999999999991,1461.6285714285714,1478.35
2013-05-13,1434.9,1442.1,1442.1,1427.3,670.0,-0.15,1437.0,-2.099999999999909,1456.8714285714286,1472.8166666666666
2013-05-14,1425.1,1434.3,1442.5,1421.0,270.0,-0.68,1434.9,-9.800000000000182,1451.2,1467.79
2013-05-15,1396.8,1426.9,1426.9,1391.0,200.0,-1.99,1425.1,-28.299999999999955,1440.9428571428573,1462.5666666666666
2013-05-16,1387.5,1393.0,1394.8,1370.4,400.0,-0.67,1396.8,-9.299999999999955,1432.1000000000001,1457.0700000000002
2013-05-17,1365.3,1384.1,1389.7,1357.4,430.0,-1.6,1387.5,-22.200000000000045,1416.5285714285712,1450.05
2013-05-20,1384.8,1358.2,1397.0,1337.2,610.0,1.43,1365.3,19.5,1404.4857142857145,1443.7933333333335
2013-05-21,1378.2,1392.2,1397.4,1359.7,1300.0,-0.48,1384.8,-6.599999999999909,1396.0857142857144,1436.8433333333332
2013-05-22,1367.9,1373.8,1413.0,1354.9,1070.0,-0.75,1378.2,-10.299999999999955,1386.5142857142855,1430.48
2013-05-23,1392.3,1369.5,1395.6,1357.4,990.0,1.78,1367.9,24.399999999999864,1381.8285714285716,1424.7266666666667
2013-05-24,1387.0,1390.7,1396.8,1383.0,320.0,-0.38,1392.3,-5.2999999999999545,1380.4285714285713,1420.9133333333334
